,Latitude,Longitude
0,41.95469,-87.800991
1,41.95469,-87.800991
2,41.95469,-87.800991
3,41.95469,-87.800991
4,41.95469,-87.800991
5,41.95469,-87.800991
6,41.95469,-87.800991
7,41.95469,-87.800991
8,41.994991,-87.769279
9,41.994991,-87.769279
10,41.994991,-87.769279
11,41.994991,-87.769279
12,41.994991,-87.769279
13,41.994991,-87.769279
14,41.994991,-87.769279
15,41.994991,-87.769279
16,41.974089,-87.824812
17,41.974089,-87.824812
18,41.974089,-87.824812
19,41.974089,-87.824812
20,41.974089,-87.824812
21,41.974089,-87.824812
22,41.974089,-87.824812
23,41.974089,-87.824812
24,41.9216,-87.666455
25,41.9216,-87.666455
26,41.9216,-87.666455
27,41.9216,-87.666455
28,41.9216,-87.666455
29,41.9216,-87.666455
30,41.9216,-87.666455
31,41.9216,-87.666455
32,41.891118,-87.65449100000002
33,41.891118,-87.65449100000002
34,41.891118,-87.65449100000002
35,41.891118,-87.65449100000002
36,41.891118,-87.65449100000002
37,41.891118,-87.65449100000002
38,41.891118,-87.65449100000002
39,41.891118,-87.65449100000002
40,41.867108,-87.654224
41,41.867108,-87.654224
42,41.867108,-87.654224
43,41.867108,-87.654224
44,41.867108,-87.654224
45,41.867108,-87.654224
46,41.867108,-87.654224
47,41.867108,-87.654224
48,41.896282,-87.655232
49,41.896282,-87.655232
50,41.896282,-87.655232
51,41.896282,-87.655232
52,41.896282,-87.655232
53,41.896282,-87.655232
54,41.896282,-87.655232
55,41.896282,-87.655232
56,41.919343,-87.694259
57,41.919343,-87.694259
58,41.919343,-87.694259
59,41.919343,-87.694259
60,41.919343,-87.694259
61,41.919343,-87.694259
62,41.919343,-87.694259
63,41.919343,-87.694259
64,41.921965,-87.632085
65,41.921965,-87.632085
66,41.921965,-87.632085
67,41.921965,-87.632085
68,41.921965,-87.632085
69,41.921965,-87.632085
70,41.921965,-87.632085
71,41.921965,-87.632085
72,41.688324,-87.676709
73,41.688324,-87.676709
74,41.688324,-87.676709
75,41.688324,-87.676709
76,41.688324,-87.676709
77,41.688324,-87.676709
78,41.688324,-87.676709
79,41.688324,-87.676709
80,41.862292,-87.64886
81,41.862292,-87.64886
82,41.862292,-87.64886
83,41.862292,-87.64886
84,41.862292,-87.64886
85,41.862292,-87.64886
86,41.862292,-87.64886
87,41.862292,-87.64886
88,41.720848,-87.666014
89,41.720848,-87.666014
90,41.720848,-87.666014
91,41.720848,-87.666014
92,41.720848,-87.666014
93,41.720848,-87.666014
94,41.720848,-87.666014
95,41.720848,-87.666014
96,41.731922,-87.677512
97,41.731922,-87.677512
98,41.731922,-87.677512
99,41.731922,-87.677512
100,41.731922,-87.677512
101,41.731922,-87.677512
102,41.731922,-87.677512
103,41.731922,-87.677512
104,41.891126,-87.61156
105,41.891126,-87.61156
106,41.891126,-87.61156
107,41.891126,-87.61156
108,41.891126,-87.61156
109,41.891126,-87.61156
110,41.891126,-87.61156
111,41.891126,-87.61156
112,41.999129,-87.795585
113,41.999129,-87.795585
114,41.999129,-87.795585
115,41.999129,-87.795585
116,41.999129,-87.795585
117,41.999129,-87.795585
118,41.999129,-87.795585
119,41.999129,-87.795585
120,42.01743,-87.68776899999997
121,42.01743,-87.68776899999997
122,42.01743,-87.68776899999997
123,42.01743,-87.68776899999997
124,42.01743,-87.68776899999997
125,42.01743,-87.68776899999997
126,42.01743,-87.68776899999997
127,42.01743,-87.68776899999997
128,41.907645,-87.760886
129,41.907645,-87.760886
130,41.907645,-87.760886
131,41.907645,-87.760886
132,41.907645,-87.760886
133,41.907645,-87.760886
134,41.907645,-87.760886
135,41.907645,-87.760886
136,41.732984,-87.649642
137,41.732984,-87.649642
138,41.732984,-87.649642
139,41.732984,-87.649642
140,41.732984,-87.649642
141,41.732984,-87.649642
142,41.732984,-87.649642
143,41.732984,-87.649642
144,41.98196400000001,-87.812827
145,41.98196400000001,-87.812827
146,41.98196400000001,-87.812827
147,41.98196400000001,-87.812827
148,41.98196400000001,-87.812827
149,41.98196400000001,-87.812827
150,41.98196400000001,-87.812827
151,41.98196400000001,-87.812827
152,41.944869,-87.832763
153,41.944869,-87.832763
154,41.944869,-87.832763
155,41.944869,-87.832763
156,41.944869,-87.832763
157,41.944869,-87.832763
158,41.944869,-87.832763
159,41.944869,-87.832763
160,42.011601,-87.81150600000002
161,42.011601,-87.81150600000002
162,42.011601,-87.81150600000002
163,42.011601,-87.81150600000002
164,42.011601,-87.81150600000002
165,42.011601,-87.81150600000002
166,42.011601,-87.81150600000002
167,42.011601,-87.81150600000002
168,41.94983,-87.69845699999998
169,41.94983,-87.69845699999998
170,41.94983,-87.69845699999998
